workerid,proliferate.condition,accuracy,coding,failed_audio,failed_images,failed_video,internal_node_id,lex_code,question_order,response,result,rt,sib_code,slider_start,spk,stimulus,success,time_elapsed,timeout,trial_index,trial_type,triplet_id,error
562,list1,,,[],[],[],0.0-0.0,,,,,,,,,,True,18321,False,0,preload,,
562,list1,,,,,,0.0-1.0,,,0,,8273,,,,"<p><font size='3'>DESCRIPTION: You are invited to participate in a research study. Its general purpose is to understand how people perceive speech. We are interested in how people make use of varying properties of language to infer social information about a speaker. In this study, you will hear spoken sentences, and you will be asked to make simple decisions about the sentences you hear. Following this, you will be asked to complete a short questionnaire, where you will indicate on a sliding scale how much you agree or disagree with a series of statements. You will also be asked to complete an optional demographic survey. <br><br>TIME INVOLVEMENT: Your participation will take approximately 10 to 20 minutes. <br><br>RISKS AND BENEFITS: The foreseeable risks associated with this study are minimal. This judgment is based on a large body of experience with the same or similar procedures with people of similar ages, sex, origins, etc. Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. There are no known benefits to you for participating in this study, and we cannot and do not guarantee or promise that you will receive any benefits from this study. You will help us to understand how people perceive spoken language. <br><br>PAYMENT: You will be paid at the posted rate. <br><br>PARTICIPANT RIGHTS: If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. The results of this research study may be presented at scientific or professional meetings or published in scientific journals. Your individual privacy will be maintained in all published and written data resulting from the study. In accordance with scientific norms, the data from this study may be used or shared with other researchers for future research (after removing personally identifying information) without additional consent from you. <br><br>CONTACT INFORMATION: If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director Grace Brown at (616) 498-8188. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306 USA. <br><br>WAIVER OF DOCUMENTATION: If you agree to participate in this research, please click the 'Continue' button. </font></p>",,26596,,1,html-button-response,,
562,list1,,,,,,0.0-2.0,,,0,,7365,,,,"<p><font size='3'>This study requires you to listen to audio clips. To ensure you can adequately hear the audio presented in this study, the next page will have an audio attention check. Please wear headphones, and be prepared to adjust the volume on your device if necessary. <br><br> When you are ready to begin the audio attention check, click 'Start'. </font></p>",,33962,,2,html-button-response,,
562,list1,,,,,,0.0-3.0,,,2,correct,2125,,,,audio/gift.wav,,36270,,3,audio-button-response,,
562,list1,,,,,,0.0-4.0,,,0,,1239,,,,<p>Correct! You are ready to begin the study.</p>,,37511,,4,html-button-response,,
562,list1,,,,,,0.0-5.0,,,0,,9147,,,,"<p><font size='3'>In this experiment, you will listen to a series of sentences, produced by different speakers. While listening to each sentence, you will be prompted to rate the social characteristics of its speaker. To rate the social characteristics of a speaker, click along the scale that appears on your screen. You may click along this scale after the speaker stops talking. Try to respond as quickly as you can. If you do not respond within ten seconds, the experiment will advance automatically. There will be a progress bar at the top of the screen. When you're ready to hear the first speaker, click ‘Start’. </font></p>",,46659,,5,html-button-response,,
562,list1,,,,,,0.0-6.0-0.0,neutral,,1418,,5486,control,5000,246,audio/246_CN19.wav,,52147,,6,audio-slider-response,19,
562,list1,,,,,,0.0-6.0-1.0,,,,,,,,,,,52650,,7,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.1,neutral,,4216,,5492,control,5000,340,audio/340_CN1.wav,,58145,,8,audio-slider-response,1,
562,list1,,,,,,0.0-6.0-1.1,,,,,,,,,,,58648,,9,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.2,neutral,,6486,,6664,control,5000,723,audio/723_CN17.wav,,65312,,10,audio-slider-response,17,
562,list1,,,,,,0.0-6.0-1.2,,,,,,,,,,,65813,,11,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.3,neutral,,4674,,4667,control,5000,723,audio/723_CN20.wav,,70482,,12,audio-slider-response,20,
562,list1,,,,,,0.0-6.0-1.3,,,,,,,,,,,70983,,13,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.4,neutral,,1144,,5074,control,5000,246,audio/246_CN4.wav,,76058,,14,audio-slider-response,4,
562,list1,,,,,,0.0-6.0-1.4,,,,,,,,,,,76559,,15,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.5,neutral,,6478,,4551,mid,5000,723,audio/723_SN16_mid.wav,,81114,,16,audio-slider-response,16,
562,list1,,,,,,0.0-6.0-1.5,,,,,,,,,,,81615,,17,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.6,neutral,,5389,,3657,mid,5000,340,audio/340_SN4_mid.wav,,85277,,18,audio-slider-response,4,
562,list1,,,,,,0.0-6.0-1.6,,,,,,,,,,,85779,,19,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.7,neutral,,4316,,3361,control,5000,723,audio/723_CN1.wav,,89140,,20,audio-slider-response,1,
562,list1,,,,,,0.0-6.0-1.7,,,,,,,,,,,89642,,21,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.8,neutral,,5362,,2879,control,5000,723,audio/723_CN3.wav,,92522,,22,audio-slider-response,3,
562,list1,,,,,,0.0-6.0-1.8,,,,,,,,,,,93024,,23,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.9,neutral,,4824,,4760,low,5000,723,audio/723_SN7_low.wav,,97786,,24,audio-slider-response,7,
562,list1,,,,,,0.0-6.0-1.9,,,,,,,,,,,98288,,25,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.10,neutral,,5380,,4052,control,5000,723,audio/723_CN18.wav,,102343,,26,audio-slider-response,18,
562,list1,,,,,,0.0-6.0-1.10,,,,,,,,,,,102844,,27,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.11,neutral,,2286,,5410,low,5000,246,audio/246_SN13_low.wav,,108257,,28,audio-slider-response,13,
562,list1,,,,,,0.0-6.0-1.11,,,,,,,,,,,108758,,29,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.12,neutral,,1391,,3988,low,5000,246,audio/246_SN1_low.wav,,112748,,30,audio-slider-response,1,
562,list1,,,,,,0.0-6.0-1.12,,,,,,,,,,,113250,,31,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.13,neutral,,7071,,3605,control,5000,340,audio/340_CN8.wav,,116855,,32,audio-slider-response,8,
